año,mes,mes_del_año,semestre,trimestre,mes_idx,producto,descripcion_producto,precio_promedio_bs_kg,n_lotes_activos,tasa_completado,factor_estacional,demanda_total_kg,demanda_promedio_por_lote_kg,demanda_siguiente_mes_kg
2026,4,4,1,2,48,Papa,El alimento base,3.63,10,0.5,1.0,83217.89,8321.79,76448.68
2026,5,5,1,2,49,Papa,El alimento base,3.0,9,0.4444,0.8,67785.31,7531.7,82219.97
2022,4,4,1,2,0,Maiz,El motor de la proteína,1.81,4,0.5,0.78,53355.49,13338.87,54687.35
2022,5,5,1,2,1,Maiz,El motor de la proteína,1.89,5,0.8,0.8,62009.02,12401.8,70471.95
2022,6,6,1,2,2,Maiz,El motor de la proteína,2.09,10,0.6,0.9,111964.53,11196.45,130823.72
2022,7,7,2,3,3,Maiz,El motor de la proteína,2.38,10,1.0,1.0,162681.46,16268.15,192601.53
2022,8,8,2,3,4,Maiz,El motor de la proteína,2.67,8,1.0,1.1,129470.04,16183.76,147259.35
2022,9,9,2,3,5,Maiz,El motor de la proteína,2.67,8,1.0,1.15,118810.44,14851.31,116153.75
2022,10,10,2,4,6,Maiz,El motor de la proteína,2.79,8,1.0,1.12,106355.63,13294.45,99508.42
2022,11,11,2,4,7,Maiz,El motor de la proteína,2.63,9,1.0,1.08,118026.07,13114.01,127945.57
2022,12,12,2,4,8,Maiz,El motor de la proteína,2.68,8,1.0,1.1,129690.45,16211.31,132027.42
2023,1,1,1,1,9,Maiz,El motor de la proteína,2.8,8,1.0,1.1,161401.21,20175.15,152670.67
2023,2,2,1,1,10,Maiz,El motor de la proteína,2.62,8,0.875,1.05,139356.69,17419.59,126040.98
2023,3,3,1,1,11,Maiz,El motor de la proteína,2.11,8,0.625,0.85,121998.69,15249.84,121251.61
2023,4,4,1,2,12,Maiz,El motor de la proteína,1.88,8,0.5,0.78,86710.05,10838.76,96299.41
2023,5,5,1,2,13,Maiz,El motor de la proteína,1.93,4,0.5,0.8,29390.1,7347.52,33627.05
2023,6,6,1,2,14,Maiz,El motor de la proteína,2.22,8,0.875,0.9,147081.24,18385.15,167979.06
2023,7,7,2,3,15,Maiz,El motor de la proteína,2.53,6,0.6667,1.0,68815.89,11469.32,76668.97
2023,8,8,2,3,16,Maiz,El motor de la proteína,2.9,5,1.0,1.1,79402.63,15880.53,86364.02
2023,9,9,2,3,17,Maiz,El motor de la proteína,2.92,7,1.0,1.15,122634.64,17519.23,129378.6
2023,10,10,2,4,18,Maiz,El motor de la proteína,2.9,7,1.0,1.12,67170.11,9595.73,73555.71
2023,11,11,2,4,19,Maiz,El motor de la proteína,2.76,7,1.0,1.08,116576.07,16653.72,136363.71
2023,12,12,2,4,20,Maiz,El motor de la proteína,2.84,8,1.0,1.1,76732.07,9591.51,89099.22
2024,1,1,1,1,21,Maiz,El motor de la proteína,2.87,6,1.0,1.1,80988.97,13498.16,82846.92
2024,2,2,1,1,22,Maiz,El motor de la proteína,2.79,10,0.9,1.05,191423.71,19142.37,164960.99
2024,3,3,1,1,23,Maiz,El motor de la proteína,2.22,10,0.7,0.85,113203.42,11320.34,121879.15
2024,4,4,1,2,24,Maiz,El motor de la proteína,2.11,5,0.6,0.78,53964.17,10792.83,66666.94
2024,5,5,1,2,25,Maiz,El motor de la proteína,2.17,7,0.7143,0.8,88923.14,12703.31,108001.14
2024,6,6,1,2,26,Maiz,El motor de la proteína,2.43,4,0.75,0.9,76266.56,19066.64,101049.63
2024,7,7,2,3,27,Maiz,El motor de la proteína,2.74,4,1.0,1.0,31008.35,7752.09,40636.67
2024,8,8,2,3,28,Maiz,El motor de la proteína,2.87,7,1.0,1.1,163408.46,23344.07,192199.97
2024,9,9,2,3,29,Maiz,El motor de la proteína,3.18,4,0.75,1.15,54496.78,13624.19,63809.56
2024,10,10,2,4,30,Maiz,El motor de la proteína,2.98,10,1.0,1.12,193202.21,19320.22,217602.88
2024,11,11,2,4,31,Maiz,El motor de la proteína,2.97,5,1.0,1.08,86542.72,17308.54,99147.26
2024,12,12,2,4,32,Maiz,El motor de la proteína,3.05,8,1.0,1.1,121642.95,15205.37,133296.32
2025,1,1,1,1,33,Maiz,El motor de la proteína,3.0,10,0.9,1.1,126857.6,12685.76,134902.12
2025,2,2,1,1,34,Maiz,El motor de la proteína,2.93,10,1.0,1.05,142327.72,14232.77,131498.98
2025,3,3,1,1,35,Maiz,El motor de la proteína,2.4,9,0.7778,0.85,134773.58,14974.84,154155.64
2025,4,4,1,2,36,Maiz,El motor de la proteína,2.16,8,0.875,0.78,115448.13,14431.02,138808.73
2025,5,5,1,2,37,Maiz,El motor de la proteína,2.25,4,0.5,0.8,50815.51,12703.88,69141.11
2025,6,6,1,2,38,Maiz,El motor de la proteína,2.58,7,0.4286,0.9,94140.01,13448.57,119268.82
2025,7,7,2,3,39,Maiz,El motor de la proteína,2.83,9,0.6667,1.0,139829.45,15536.61,182066.07
2025,8,8,2,3,40,Maiz,El motor de la proteína,3.18,6,0.8333,1.1,88837.86,14806.31,110654.2
2025,9,9,2,3,41,Maiz,El motor de la proteína,3.4,4,1.0,1.15,65346.5,16336.62,79645.67
2025,10,10,2,4,42,Maiz,El motor de la proteína,3.24,8,1.0,1.12,142787.59,17848.45,168720.37
2025,11,11,2,4,43,Maiz,El motor de la proteína,3.13,10,1.0,1.08,193691.97,19369.2,228036.15
2025,12,12,2,4,44,Maiz,El motor de la proteína,3.3,5,1.0,1.1,97584.1,19516.82,126351.58
2026,1,1,1,1,45,Maiz,El motor de la proteína,3.17,7,1.0,1.1,99658.93,14236.99,121559.35
2026,1,1,1,1,46,Maiz,El motor de la proteína,3.11,5,1.0,1.1,52047.99,10409.6,62457.52
2026,3,3,1,1,47,Maiz,El motor de la proteína,2.55,9,0.5556,0.85,150778.77,16753.2,168153.16
2026,4,4,1,2,48,Maiz,El motor de la proteína,2.27,5,0.6,0.78,68565.33,13713.07,91589.14
2026,5,5,1,2,49,Maiz,El motor de la proteína,2.33,4,0.0,0.8,30833.69,7708.42,45801.9
2022,4,4,1,2,0,Arroz,El cereal del día a día,3.19,9,0.7778,0.85,100057.34,11117.48,97504.36
2022,5,5,1,2,1,Arroz,El cereal del día a día,2.91,5,0.8,0.8,46442.96,9288.59,48536.68
2022,6,6,1,2,2,Arroz,El cereal del día a día,3.1,7,0.4286,0.82,45867.88,6552.55,47288.82
2022,7,7,2,3,3,Arroz,El cereal del día a día,3.28,7,0.8571,0.9,71542.82,10220.4,80475.95
2022,8,8,2,3,4,Arroz,El cereal del día a día,3.55,9,0.7778,0.95,113762.02,12640.22,128713.64
2022,9,9,2,3,5,Arroz,El cereal del día a día,3.9,9,0.7778,1.0,79627.63,8847.51,83892.64
2022,10,10,2,4,6,Arroz,El cereal del día a día,3.83,4,0.75,1.05,44415.27,11103.82,47186.75
2022,11,11,2,4,7,Arroz,El cereal del día a día,4.21,9,0.6667,1.1,91493.33,10165.93,105691.73
2022,12,12,2,4,8,Arroz,El cereal del día a día,4.46,8,1.0,1.18,130901.09,16362.64,136533.01
2023,1,1,1,1,9,Arroz,El cereal del día a día,4.49,10,1.0,1.15,139190.22,13919.02,148384.03
2023,2,2,1,1,10,Arroz,El cereal del día a día,4.5,4,1.0,1.2,62742.91,15685.73,62417.81
2023,3,3,1,1,11,Arroz,El cereal del día a día,4.19,4,1.0,1.1,56947.15,14236.79,43074.42
2023,4,4,1,2,12,Arroz,El cereal del día a día,3.3,8,0.75,0.85,84549.66,10568.71,85353.95
2023,5,5,1,2,13,Arroz,El cereal del día a día,3.18,10,0.7,0.8,75864.52,7586.45,84466.93
2023,6,6,1,2,14,Arroz,El cereal del día a día,3.31,10,0.8,0.82,136516.24,13651.62,159362.61
2023,7,7,2,3,15,Arroz,El cereal del día a día,3.54,6,0.6667,0.9,50000.66,8333.44,57361.42
2023,8,8,2,3,16,Arroz,El cereal del día a día,3.78,5,1.0,0.95,94637.11,18927.42,103847.38
2023,9,9,2,3,17,Arroz,El cereal del día a día,4.05,7,0.7143,1.0,76012.24,10858.89,87455.83
2023,10,10,2,4,18,Arroz,El cereal del día a día,4.17,6,1.0,1.05,63131.87,10521.98,73944.62
2023,11,11,2,4,19,Arroz,El cereal del día a día,4.33,10,0.8,1.1,98881.01,9888.1,112299.4
2023,12,12,2,4,20,Arroz,El cereal del día a día,4.73,9,1.0,1.18,84965.45,9440.61,88320.68
2024,1,1,1,1,21,Arroz,El cereal del día a día,4.57,9,1.0,1.15,87700.94,9744.55,93134.25
2024,2,2,1,1,22,Arroz,El cereal del día a día,4.81,8,0.875,1.2,103196.41,12899.55,104461.77
2024,3,3,1,1,23,Arroz,El cereal del día a día,4.34,5,1.0,1.1,47476.4,9495.28,37405.87
2024,4,4,1,2,24,Arroz,El cereal del día a día,3.41,5,0.8,0.85,36508.1,7301.62,37944.11
2024,5,5,1,2,25,Arroz,El cereal del día a día,3.3,9,0.6667,0.8,98465.24,10940.58,115525.3
2024,6,6,1,2,26,Arroz,El cereal del día a día,3.31,5,0.8,0.82,40990.9,8198.18,46833.27
2024,7,7,2,3,27,Arroz,El cereal del día a día,3.76,5,0.8,0.9,57015.43,11403.09,64285.11
2024,8,8,2,3,28,Arroz,El cereal del día a día,3.98,8,0.75,0.95,62152.8,7769.1,69954.06
2024,9,9,2,3,29,Arroz,El cereal del día a día,4.07,6,1.0,1.0,80494.15,13415.69,95817.22
2024,10,10,2,4,30,Arroz,El cereal del día a día,4.39,10,0.9,1.05,95842.28,9584.23,117542.18
2024,11,11,2,4,31,Arroz,El cereal del día a día,4.53,7,1.0,1.1,73759.7,10537.1,82645.04
2024,12,12,2,4,32,Arroz,El cereal del día a día,5.01,5,1.0,1.18,69005.23,13801.05,77358.97
2025,1,1,1,1,33,Arroz,El cereal del día a día,4.79,7,1.0,1.15,112435.34,16062.19,135511.04
2025,2,2,1,1,34,Arroz,El cereal del día a día,5.03,8,1.0,1.2,118440.49,14805.06,126629.0
2025,3,3,1,1,35,Arroz,El cereal del día a día,4.47,6,0.8333,1.1,94768.42,15794.74,77624.02
2025,4,4,1,2,36,Arroz,El cereal del día a día,3.64,5,1.0,0.85,65465.73,13093.15,67219.7
2025,5,5,1,2,37,Arroz,El cereal del día a día,3.38,7,0.4286,0.8,74984.71,10712.1,87675.69
2025,6,6,1,2,38,Arroz,El cereal del día a día,3.36,4,0.75,0.82,48470.7,12117.68,58726.77
2025,7,7,2,3,39,Arroz,El cereal del día a día,3.79,4,0.75,0.9,48511.19,12127.8,57115.66
2025,8,8,2,3,40,Arroz,El cereal del día a día,4.11,9,1.0,0.95,90204.03,10022.67,110950.26
2025,9,9,2,3,41,Arroz,El cereal del día a día,4.28,4,0.75,1.0,38678.31,9669.58,49040.86
2025,10,10,2,4,42,Arroz,El cereal del día a día,4.58,9,0.8889,1.05,93003.05,10333.67,108302.18
2025,11,11,2,4,43,Arroz,El cereal del día a día,4.71,6,1.0,1.1,60167.23,10027.87,79373.63
2025,12,12,2,4,44,Arroz,El cereal del día a día,5.09,9,1.0,1.18,146561.65,16284.63,172853.29
2026,1,1,1,1,45,Arroz,El cereal del día a día,4.98,7,1.0,1.15,124081.44,17725.92,150077.68
2026,1,1,1,1,46,Arroz,El cereal del día a día,4.92,8,1.0,1.15,88326.2,11040.77,100421.95
2026,3,3,1,1,47,Arroz,El cereal del día a día,4.66,5,1.0,1.1,56396.54,11279.31,47992.39
2026,4,4,1,2,48,Arroz,El cereal del día a día,3.75,8,0.625,0.85,83724.84,10465.6,86675.8
2026,5,5,1,2,49,Arroz,El cereal del día a día,3.52,9,0.3333,0.8,111343.48,12371.5,133057.47
2022,4,4,1,2,0,Soya,Harina y subproductos para ganadería,4.08,5,0.8,0.9,107994.79,21598.96,100278.93
2022,5,5,1,2,1,Soya,Harina y subproductos para ganadería,3.68,4,0.25,0.82,86125.22,21531.31,82369.24
2022,6,6,1,2,2,Soya,Harina y subproductos para ganadería,3.82,4,0.5,0.8,113333.53,28333.38,117251.23
2022,7,7,2,3,3,Soya,Harina y subproductos para ganadería,3.97,7,0.7143,0.85,140267.08,20038.15,189034.42
2022,8,8,2,3,4,Soya,Harina y subproductos para ganadería,4.96,8,1.0,1.05,174963.67,21870.46,189444.83
2022,9,9,2,3,5,Soya,Harina y subproductos para ganadería,5.5,5,1.0,1.15,144440.82,28888.16,162638.87
2022,10,10,2,4,6,Soya,Harina y subproductos para ganadería,5.9,9,1.0,1.2,258483.73,28720.41,247104.84
2022,11,11,2,4,7,Soya,Harina y subproductos para ganadería,5.49,6,0.8333,1.15,205656.57,34276.09,202849.75
2022,12,12,2,4,8,Soya,Harina y subproductos para ganadería,5.48,4,1.0,1.08,103025.86,25756.46,106964.38
2023,1,1,1,1,9,Soya,Harina y subproductos para ganadería,5.15,7,0.8571,1.05,192977.21,27568.17,183268.22
2023,2,2,1,1,10,Soya,Harina y subproductos para ganadería,4.86,8,0.875,1.0,185504.92,23188.11,179968.59
2023,3,3,1,1,11,Soya,Harina y subproductos para ganadería,4.7,9,0.7778,0.95,161458.87,17939.87,163367.35
2023,4,4,1,2,12,Soya,Harina y subproductos para ganadería,4.5,8,0.5,0.9,158152.14,19769.02,149956.02
2023,5,5,1,2,13,Soya,Harina y subproductos para ganadería,4.07,5,1.0,0.82,140728.03,28145.61,158176.13
2023,6,6,1,2,14,Soya,Harina y subproductos para ganadería,4.25,4,0.5,0.8,77027.68,19256.92,83433.68
2023,7,7,2,3,15,Soya,Harina y subproductos para ganadería,4.36,6,0.6667,0.85,122390.42,20398.4,160389.03
2023,8,8,2,3,16,Soya,Harina y subproductos para ganadería,5.25,4,1.0,1.05,131537.07,32884.27,163368.5
2023,9,9,2,3,17,Soya,Harina y subproductos para ganadería,5.93,7,1.0,1.15,202811.56,28973.08,245169.76
2023,10,10,2,4,18,Soya,Harina y subproductos para ganadería,6.2,6,1.0,1.2,139823.43,23303.9,152773.06
2023,11,11,2,4,19,Soya,Harina y subproductos para ganadería,6.05,7,1.0,1.15,217585.21,31083.6,219544.35
2023,12,12,2,4,20,Soya,Harina y subproductos para ganadería,5.43,10,1.0,1.08,314812.86,31481.29,322160.92
2024,1,1,1,1,21,Soya,Harina y subproductos para ganadería,5.63,8,0.75,1.05,194295.68,24286.96,209010.92
2024,2,2,1,1,22,Soya,Harina y subproductos para ganadería,5.31,9,0.8889,1.0,190729.36,21192.15,208812.24
2024,3,3,1,1,23,Soya,Harina y subproductos para ganadería,4.97,4,0.5,0.95,102278.3,25569.57,109696.43
2024,4,4,1,2,24,Soya,Harina y subproductos para ganadería,4.68,8,0.5,0.9,131371.1,16421.39,138157.25
2024,5,5,1,2,25,Soya,Harina y subproductos para ganadería,4.46,8,0.375,0.82,192588.4,24073.55,219576.67
2024,6,6,1,2,26,Soya,Harina y subproductos para ganadería,4.38,9,0.5556,0.8,128922.65,14324.74,162326.14
2024,7,7,2,3,27,Soya,Harina y subproductos para ganadería,4.64,10,0.7,0.85,145405.15,14540.51,218826.77
2024,8,8,2,3,28,Soya,Harina y subproductos para ganadería,5.55,10,0.9,1.05,205898.8,20589.88,274566.66
2024,9,9,2,3,29,Soya,Harina y subproductos para ganadería,6.51,8,1.0,1.15,160328.54,20041.07,185007.53
2024,10,10,2,4,30,Soya,Harina y subproductos para ganadería,6.75,10,1.0,1.2,244124.45,24412.44,283855.39
2024,11,11,2,4,31,Soya,Harina y subproductos para ganadería,6.25,7,1.0,1.15,168358.76,24051.25,202268.61
2024,12,12,2,4,32,Soya,Harina y subproductos para ganadería,6.14,6,1.0,1.08,163024.83,27170.8,181629.35
2025,1,1,1,1,33,Soya,Harina y subproductos para ganadería,5.8,8,1.0,1.05,313057.93,39132.24,356037.4
2025,2,2,1,1,34,Soya,Harina y subproductos para ganadería,5.35,8,0.875,1.0,246448.46,30806.06,295518.65
2025,3,3,1,1,35,Soya,Harina y subproductos para ganadería,5.24,4,1.0,0.95,97900.22,24475.06,111441.65
2025,4,4,1,2,36,Soya,Harina y subproductos para ganadería,5.18,9,0.7778,0.9,204642.91,22738.1,221153.83
2025,5,5,1,2,37,Soya,Harina y subproductos para ganadería,4.72,7,0.7143,0.82,82902.01,11843.14,96077.5
2025,6,6,1,2,38,Soya,Harina y subproductos para ganadería,4.66,9,0.6667,0.8,224664.6,24962.73,284446.05
2025,7,7,2,3,39,Soya,Harina y subproductos para ganadería,4.95,7,1.0,0.85,157887.71,22555.39,246497.17
2025,8,8,2,3,40,Soya,Harina y subproductos para ganadería,6.05,6,1.0,1.05,214692.96,35782.16,278363.11
2025,9,9,2,3,41,Soya,Harina y subproductos para ganadería,6.8,4,1.0,1.15,140789.21,35197.3,177833.37
2025,10,10,2,4,42,Soya,Harina y subproductos para ganadería,7.08,10,1.0,1.2,241209.63,24120.96,304468.42
2025,11,11,2,4,43,Soya,Harina y subproductos para ganadería,6.79,10,1.0,1.15,257095.52,25709.55,289369.21
2025,12,12,2,4,44,Soya,Harina y subproductos para ganadería,6.39,10,1.0,1.08,280468.77,28046.88,328405.69
2026,1,1,1,1,45,Soya,Harina y subproductos para ganadería,6.23,6,1.0,1.05,190919.16,31819.86,247609.5
2026,1,1,1,1,46,Soya,Harina y subproductos para ganadería,6.19,5,0.8,1.05,102324.79,20464.96,131519.69
2026,3,3,1,1,47,Soya,Harina y subproductos para ganadería,5.72,9,1.0,0.95,249255.45,27695.05,290532.35
2026,4,4,1,2,48,Soya,Harina y subproductos para ganadería,5.52,7,0.8571,0.9,139472.52,19924.65,167558.03
2026,5,5,1,2,49,Soya,Harina y subproductos para ganadería,4.96,8,0.5,0.82,195463.81,24432.98,236728.3
2022,4,4,1,2,0,Azucar,Derivado de la Caña,3.87,7,1.0,1.1,126890.3,18127.19,98451.44
2022,5,5,1,2,1,Azucar,Derivado de la Caña,3.08,5,0.8,0.9,63544.81,12708.96,55925.5
2022,6,6,1,2,2,Azucar,Derivado de la Caña,2.93,8,1.0,0.82,214525.69,26815.71,222978.85
2022,7,7,2,3,3,Azucar,Derivado de la Caña,2.77,7,0.8571,0.8,92921.2,13274.46,103171.37
2022,8,8,2,3,4,Azucar,Derivado de la Caña,2.88,6,0.8333,0.82,73347.08,12224.51,85451.76
2022,9,9,2,3,5,Azucar,Derivado de la Caña,3.14,10,0.7,0.88,122804.39,12280.44,132114.01
2022,10,10,2,4,6,Azucar,Derivado de la Caña,3.25,9,0.7778,0.92,148134.54,16459.39,153729.0
2022,11,11,2,4,7,Azucar,Derivado de la Caña,3.66,5,1.0,1.0,71254.72,14250.94,86255.33
2022,12,12,2,4,8,Azucar,Derivado de la Caña,3.99,6,1.0,1.12,126016.71,21002.78,148655.31
2023,1,1,1,1,9,Azucar,Derivado de la Caña,4.45,4,1.0,1.2,77454.72,19363.68,74058.87
2023,2,2,1,1,10,Azucar,Derivado de la Caña,4.16,5,1.0,1.18,159571.77,31914.35,168595.4
2023,3,3,1,1,11,Azucar,Derivado de la Caña,4.21,4,1.0,1.15,81487.02,20371.76,85732.89
2023,4,4,1,2,12,Azucar,Derivado de la Caña,4.07,6,1.0,1.1,145251.19,24208.53,121039.88
2023,5,5,1,2,13,Azucar,Derivado de la Caña,3.18,6,0.8333,0.9,131845.19,21974.2,119387.67
2023,6,6,1,2,14,Azucar,Derivado de la Caña,3.02,4,0.5,0.82,56801.9,14200.48,57790.23
2023,7,7,2,3,15,Azucar,Derivado de la Caña,2.87,9,0.5556,0.8,140714.9,15634.99,142022.63
2023,8,8,2,3,16,Azucar,Derivado de la Caña,3.03,8,0.75,0.82,130771.15,16346.39,144846.01
2023,9,9,2,3,17,Azucar,Derivado de la Caña,3.36,5,0.6,0.88,90673.88,18134.78,102976.12
2023,10,10,2,4,18,Azucar,Derivado de la Caña,3.42,8,0.75,0.92,127300.6,15912.58,144382.84
2023,11,11,2,4,19,Azucar,Derivado de la Caña,3.68,8,0.875,1.0,199744.18,24968.02,246017.8
2023,12,12,2,4,20,Azucar,Derivado de la Caña,4.14,4,1.0,1.12,70272.2,17568.05,82433.79
2024,1,1,1,1,21,Azucar,Derivado de la Caña,4.32,5,1.0,1.2,110051.24,22010.25,109452.81
2024,2,2,1,1,22,Azucar,Derivado de la Caña,4.37,4,1.0,1.18,95690.7,23922.67,103057.63
2024,3,3,1,1,23,Azucar,Derivado de la Caña,4.58,4,1.0,1.15,99892.99,24973.25,107858.77
2024,4,4,1,2,24,Azucar,Derivado de la Caña,4.16,5,0.8,1.1,98750.54,19750.11,85367.77
2024,5,5,1,2,25,Azucar,Derivado de la Caña,3.35,6,1.0,0.9,118513.04,19752.17,114016.58
2024,6,6,1,2,26,Azucar,Derivado de la Caña,3.09,7,0.8571,0.82,157226.14,22460.88,156316.75
2024,7,7,2,3,27,Azucar,Derivado de la Caña,3.09,5,0.4,0.8,74264.38,14852.88,83024.28
2024,8,8,2,3,28,Azucar,Derivado de la Caña,3.03,5,0.6,0.82,58962.17,11792.43,71413.2
2024,9,9,2,3,29,Azucar,Derivado de la Caña,3.37,9,0.7778,0.88,173087.54,19231.95,192669.45
2024,10,10,2,4,30,Azucar,Derivado de la Caña,3.62,10,0.9,0.92,234456.84,23445.68,262791.11
2024,11,11,2,4,31,Azucar,Derivado de la Caña,3.9,9,1.0,1.0,226015.84,25112.87,268409.01
2024,12,12,2,4,32,Azucar,Derivado de la Caña,4.39,7,0.8571,1.12,114601.88,16371.7,136529.18
2025,1,1,1,1,33,Azucar,Derivado de la Caña,4.67,9,0.8889,1.2,161945.65,17993.96,182108.4
2025,2,2,1,1,34,Azucar,Derivado de la Caña,4.56,7,1.0,1.18,130274.85,18610.69,148934.68
2025,3,3,1,1,35,Azucar,Derivado de la Caña,4.62,6,1.0,1.15,108950.74,18158.46,123222.24
2025,4,4,1,2,36,Azucar,Derivado de la Caña,4.21,9,1.0,1.1,221739.55,24637.73,212941.19
2025,5,5,1,2,37,Azucar,Derivado de la Caña,3.55,8,1.0,0.9,173402.17,21675.27,174395.49
2025,6,6,1,2,38,Azucar,Derivado de la Caña,3.18,9,0.7778,0.82,166569.81,18507.76,178321.67
2025,7,7,2,3,39,Azucar,Derivado de la Caña,3.16,4,1.0,0.8,84785.4,21196.35,103056.86
2025,8,8,2,3,40,Azucar,Derivado de la Caña,3.32,5,0.4,0.82,68583.17,13716.63,85953.42
2025,9,9,2,3,41,Azucar,Derivado de la Caña,3.49,7,0.5714,0.88,91320.18,13045.74,108598.21
2025,10,10,2,4,42,Azucar,Derivado de la Caña,3.79,9,0.7778,0.92,153279.91,17031.1,189502.2
2025,11,11,2,4,43,Azucar,Derivado de la Caña,4.01,9,0.7778,1.0,125696.07,13966.23,155385.09
